Age,Gender,Income,EmploymentType,Education,HousingType,FamilyStatus,EmploymentYears,CreditScore,LoanAmount,PaymentHistory,Dependents,Approved
31,Male,400107,Government,Post Graduate,With Parents,Married,30,867,947740,Good,4,0
29,Female,1734938,Government,Post Graduate,Owned,Single,8,425,299342,Good,1,0
58,Female,1842064,Student,Graduate,Owned,Married,17,447,785032,Good,5,0
31,Female,1966741,Government,Graduate,Rented,Single,12,411,482354,Good,4,0
58,Female,223798,Business,Graduate,With Parents,Married,32,381,700207,Good,5,0
47,Female,1707024,Government,Post Graduate,Rented,Single,26,762,704889,Good,5,1
56,Male,658124,Government,High School,With Parents,Single,2,407,408556,Good,2,0
57,Male,438212,Student,Post Graduate,Owned,Divorced,17,899,35533,Good,0,1
33,Male,685750,Government,Graduate,Owned,Married,26,793,688695,Poor,5,0
38,Male,790236,Working,Post Graduate,With Parents,Divorced,16,390,763751,Good,0,0
48,Female,1459330,Business,High School,Owned,Married,34,393,108768,Good,2,0
58,Male,1818286,Working,High School,Rented,Divorced,10,339,157833,Good,3,0
47,Male,1047665,Working,Post Graduate,Owned,Divorced,2,552,306161,Good,1,0
37,Female,834102,Government,High School,Owned,Single,20,502,78315,Good,5,0
51,Male,1218510,Working,High School,With Parents,Married,3,381,339660,Good,0,0
26,Female,443282,Business,High School,With Parents,Single,19,316,141933,Good,3,0
21,Male,1292101,Working,Graduate,Owned,Single,8,846,481691,Poor,2,0
41,Male,1216235,Working,Post Graduate,Owned,Married,30,822,386402,Good,2,1
48,Male,1469188,Working,High School,With Parents,Single,2,811,316319,Good,0,1
45,Male,1840932,Government,High School,Owned,Divorced,9,421,365272,Good,0,0
25,Male,372807,Government,High School,Rented,Single,26,743,694041,Good,0,0
47,Female,1907393,Government,Graduate,Owned,Married,11,808,775520,Good,0,1
21,Male,1527490,Government,Graduate,Rented,Divorced,4,777,612105,Good,5,1
60,Female,1291769,Government,Graduate,Rented,Divorced,18,818,597911,Poor,4,0
35,Male,264226,Government,High School,With Parents,Divorced,21,743,473345,Good,5,0
46,Male,966761,Government,Post Graduate,Rented,Single,11,759,669150,Good,3,1
30,Female,1047684,Business,Post Graduate,Rented,Married,23,326,271571,Good,0,0
51,Male,1591118,Working,High School,Rented,Divorced,17,413,879579,Good,3,0
53,Female,577555,Government,High School,With Parents,Divorced,28,405,919547,Good,5,0
47,Female,1335598,Working,Post Graduate,Rented,Single,31,438,562349,Good,3,0
47,Male,603018,Working,High School,Rented,Divorced,10,443,240510,Good,1,0
32,Male,1366155,Business,Graduate,Owned,Divorced,17,782,342613,Poor,4,0
33,Female,1470865,Government,High School,Owned,Married,5,339,761570,Good,2,0
49,Male,678513,Government,High School,With Parents,Single,15,655,699414,Good,2,0
33,Female,1835293,Student,High School,Owned,Divorced,33,434,968397,Poor,3,0
39,Male,1541247,Government,Graduate,With Parents,Single,29,836,251935,Good,4,1
22,Male,249764,Government,High School,With Parents,Married,21,548,315917,Good,2,0
29,Male,1575283,Government,Graduate,Rented,Divorced,26,765,301819,Good,5,1
29,Male,567601,Working,Post Graduate,With Parents,Divorced,35,528,23669,Good,2,0
52,Male,1612827,Business,Graduate,With Parents,Divorced,7,449,102075,Good,5,0
60,Female,725506,Business,Post Graduate,Rented,Divorced,0,626,853877,Good,2,0
43,Female,1844686,Government,Post Graduate,With Parents,Married,1,857,796456,Good,4,1
21,Female,1464043,Student,Post Graduate,With Parents,Single,19,667,937283,Good,4,1
55,Female,230980,Student,High School,With Parents,Single,24,639,440798,Good,1,0
49,Female,978577,Student,High School,Owned,Married,20,447,465734,Good,1,0
47,Male,826714,Working,High School,Rented,Single,1,824,293971,Good,5,1
46,Male,1542487,Student,Graduate,Rented,Married,29,810,901441,Poor,2,0
21,Female,1616232,Business,High School,With Parents,Single,16,478,222918,Good,0,0
23,Female,367806,Student,Post Graduate,Owned,Married,7,638,358621,Good,3,0
59,Male,887086,Government,Graduate,Rented,Married,1,693,182575,Poor,4,0
45,Male,540056,Government,High School,Rented,Married,3,544,799946,Good,5,0
30,Female,1616954,Government,Graduate,Owned,Single,5,629,671126,Good,1,0
54,Female,674710,Working,Graduate,Owned,Single,27,701,192750,Poor,5,0
60,Male,1128245,Business,High School,Rented,Married,10,442,869500,Good,2,0
26,Female,1173101,Business,High School,Rented,Divorced,15,480,943558,Good,4,0
34,Female,1949471,Working,Graduate,Owned,Single,22,333,225914,Good,1,0
58,Male,1248810,Working,Graduate,With Parents,Married,0,489,158569,Good,0,0
58,Male,422807,Business,Post Graduate,Owned,Single,23,531,513182,Good,0,0
59,Male,204323,Working,Post Graduate,Owned,Single,21,740,104280,Good,1,0
42,Female,1700600,Government,Post Graduate,Rented,Single,32,677,371088,Poor,2,0
21,Female,1415020,Business,High School,Owned,Married,22,522,143357,Good,0,0
45,Female,1176168,Working,Graduate,Rented,Married,18,751,769567,Good,1,1
49,Male,1840751,Working,Post Graduate,Rented,Married,12,406,964686,Good,3,0
52,Female,1082314,Student,Graduate,Owned,Married,11,782,679584,Poor,3,0
25,Male,255580,Business,Post Graduate,Owned,Divorced,20,788,574032,Good,5,0
25,Male,526903,Business,High School,Owned,Divorced,7,700,501702,Good,5,0
49,Male,1010301,Student,Post Graduate,Rented,Single,21,551,142064,Good,5,0
52,Male,1330681,Government,Post Graduate,Owned,Single,8,687,858506,Good,5,1
39,Female,1068399,Business,Graduate,Owned,Single,18,455,635724,Good,0,0
23,Male,1765435,Business,Graduate,Rented,Single,34,878,951964,Good,1,1
25,Male,500314,Government,Graduate,Rented,Divorced,32,689,398447,Good,1,1
51,Female,416597,Student,Post Graduate,With Parents,Single,31,722,359135,Good,2,0
34,Male,286495,Working,High School,Rented,Divorced,1,697,842875,Good,5,0
48,Female,814123,Business,Graduate,Rented,Single,23,365,844609,Good,1,0
38,Female,924411,Business,High School,Rented,Married,25,621,975545,Good,4,0
51,Female,745632,Student,Post Graduate,Rented,Divorced,27,463,172686,Good,4,0
39,Female,1941602,Working,High School,Rented,Married,8,622,6095,Poor,4,0
29,Female,885749,Student,Post Graduate,Rented,Single,9,355,908452,Good,1,0
49,Female,1690995,Student,High School,With Parents,Single,20,322,643709,Good,1,0
37,Female,490419,Working,High School,With Parents,Single,19,747,910873,Good,2,0
21,Male,509003,Business,Graduate,Rented,Married,35,306,300809,Poor,3,0
57,Female,1999292,Business,Graduate,Owned,Divorced,18,353,481249,Good,1,0
60,Male,396308,Government,Graduate,With Parents,Divorced,9,548,202446,Good,5,0
30,Male,1389894,Government,Graduate,Owned,Divorced,25,799,419641,Good,3,1
21,Female,613412,Student,Post Graduate,Owned,Divorced,8,832,447048,Good,0,1
25,Male,1864667,Business,High School,Owned,Divorced,33,599,527831,Poor,1,0
45,Female,1821590,Business,High School,Owned,Married,28,890,399534,Good,4,1
31,Female,1245986,Working,Post Graduate,Owned,Married,0,643,671209,Good,4,0
39,Female,1457020,Business,High School,With Parents,Married,26,586,595863,Good,0,0
28,Male,505285,Government,Post Graduate,Rented,Single,13,683,52343,Poor,0,0
25,Male,895839,Government,Graduate,Owned,Married,22,843,750146,Good,5,0
24,Male,654530,Working,Graduate,Rented,Divorced,4,362,295536,Good,1,0
25,Female,1050745,Student,Post Graduate,Rented,Single,13,638,200206,Good,5,0
27,Female,1280141,Business,Graduate,Rented,Married,20,660,530250,Good,0,1
60,Male,416235,Student,Post Graduate,Rented,Married,18,758,115332,Good,3,1
56,Female,275689,Working,Post Graduate,Owned,Single,29,405,424461,Poor,4,0
56,Male,1214461,Working,Graduate,Owned,Single,23,828,972913,Good,4,0
48,Male,378651,Student,Graduate,Rented,Married,33,506,696249,Good,3,0
25,Female,287418,Government,High School,Rented,Divorced,13,683,198800,Good,5,0
55,Male,1433256,Government,Graduate,Rented,Married,9,858,387572,Good,1,1
36,Male,792002,Business,Graduate,Rented,Divorced,9,396,490864,Poor,5,0
51,Female,1373478,Working,High School,With Parents,Married,34,574,974159,Good,4,0
52,Male,209018,Business,High School,Owned,Divorced,21,509,165245,Poor,3,0
32,Female,1781147,Student,Graduate,With Parents,Divorced,14,561,332037,Good,2,0
24,Male,870952,Business,Post Graduate,Rented,Married,27,409,250141,Good,4,0
50,Male,216051,Student,High School,With Parents,Single,29,529,582557,Poor,1,0
51,Female,1183863,Student,Post Graduate,Owned,Single,32,599,147019,Good,5,0
51,Female,616115,Working,Post Graduate,Owned,Single,28,384,153539,Good,1,0
38,Male,605719,Government,Post Graduate,Rented,Married,13,353,365742,Good,3,0
49,Female,396997,Student,High School,With Parents,Divorced,30,410,394472,Good,4,0
48,Female,1818751,Student,Graduate,Rented,Married,18,341,636753,Good,5,0
45,Male,608465,Government,Graduate,Owned,Single,23,455,169320,Poor,2,0
29,Female,1630573,Government,High School,Rented,Divorced,12,486,133362,Poor,4,0
25,Female,711447,Working,Graduate,Owned,Married,18,789,704393,Good,0,0
28,Female,1233564,Working,High School,Rented,Single,6,344,72606,Good,1,0
47,Male,264445,Working,High School,Rented,Married,35,885,752634,Good,2,0
50,Female,1453831,Student,Post Graduate,Owned,Single,20,595,532257,Good,1,0
43,Female,387189,Business,High School,Rented,Divorced,25,783,597829,Good,2,0
45,Male,1690824,Student,Post Graduate,Rented,Married,15,459,24060,Poor,0,0
52,Male,1913974,Student,Graduate,Rented,Single,33,445,325454,Good,2,0
37,Male,1711216,Student,Post Graduate,Owned,Married,0,340,850231,Good,5,0
30,Male,1345263,Student,Post Graduate,Owned,Single,19,686,828281,Good,0,1
58,Male,1373311,Government,Graduate,Owned,Single,31,417,420106,Poor,1,0
24,Male,691722,Government,Graduate,With Parents,Single,24,505,851258,Good,0,0
24,Male,1435920,Working,Post Graduate,With Parents,Divorced,15,367,579909,Good,0,0
21,Female,1990145,Working,High School,With Parents,Divorced,14,643,732975,Poor,0,0
42,Male,1510705,Working,Post Graduate,With Parents,Single,3,568,740585,Good,3,0
47,Female,385640,Business,Graduate,Rented,Single,34,325,536708,Good,0,0
29,Male,1614275,Student,Post Graduate,Owned,Married,19,769,937562,Good,2,1
50,Male,928723,Business,High School,Owned,Single,22,861,992873,Good,5,0
36,Male,1485287,Student,Graduate,Owned,Divorced,28,815,304313,Poor,0,0
56,Male,1766564,Government,High School,With Parents,Married,14,785,428020,Good,2,1
22,Male,1050470,Student,Graduate,Rented,Divorced,6,821,519296,Good,1,1
54,Male,1058085,Business,Graduate,With Parents,Divorced,22,325,92045,Good,3,0
31,Female,1042044,Business,Post Graduate,Owned,Single,27,742,456110,Good,5,1
53,Male,1395116,Business,Graduate,With Parents,Married,5,704,856710,Good,1,1
56,Male,1172658,Government,Post Graduate,With Parents,Single,20,879,561471,Good,2,1
42,Female,1207203,Student,High School,Rented,Married,31,689,310783,Good,1,1
56,Female,1756195,Working,Graduate,Owned,Single,18,427,810765,Good,3,0
42,Female,1356445,Business,Post Graduate,Owned,Single,22,705,367965,Poor,4,0
55,Female,368356,Working,Graduate,With Parents,Married,2,357,915446,Good,0,0
21,Male,749223,Government,Post Graduate,With Parents,Divorced,11,835,993939,Good,3,0
43,Female,304416,Business,Post Graduate,Owned,Single,12,318,129489,Good,1,0
42,Male,333814,Student,Post Graduate,Owned,Married,17,475,599387,Good,0,0
46,Female,512968,Business,High School,Owned,Single,26,515,860712,Good,4,0
22,Female,552632,Working,High School,Rented,Divorced,12,320,986102,Good,2,0
32,Female,1565682,Student,High School,Rented,Divorced,28,672,250838,Good,5,1
39,Male,1662315,Government,Graduate,With Parents,Single,17,612,410022,Poor,4,0
44,Female,1622475,Student,Graduate,Owned,Divorced,24,855,947092,Good,1,1
44,Female,730898,Government,High School,Rented,Married,4,587,399315,Good,4,0
55,Female,942257,Business,Post Graduate,With Parents,Married,32,503,824756,Good,5,0
35,Female,1573454,Student,Post Graduate,Owned,Married,31,521,455267,Poor,2,0
54,Female,704024,Business,High School,With Parents,Married,30,673,550004,Good,4,1
59,Female,711082,Business,Post Graduate,Rented,Divorced,35,523,688796,Poor,2,0
40,Male,1728404,Student,Post Graduate,With Parents,Married,34,332,373325,Good,5,0
40,Female,1877113,Working,Graduate,With Parents,Single,11,844,282213,Good,1,1
21,Male,1160255,Business,Graduate,Owned,Divorced,12,880,47897,Good,3,1
35,Female,497540,Government,Graduate,With Parents,Married,0,547,589538,Poor,0,0
47,Male,902718,Government,High School,Rented,Single,8,304,314465,Poor,0,0
32,Male,853581,Business,Graduate,Owned,Single,8,775,625606,Good,5,1
35,Male,1774115,Student,Post Graduate,Rented,Single,5,402,117100,Good,5,0
43,Male,776237,Business,Graduate,Rented,Single,29,570,156224,Good,5,0
45,Male,1890565,Government,High School,With Parents,Single,33,672,519999,Good,1,1
56,Female,930986,Government,Graduate,Owned,Married,27,341,836959,Good,5,0
26,Male,879852,Working,High School,Rented,Divorced,19,652,869056,Good,5,0
35,Female,1664939,Working,Graduate,Owned,Married,11,856,886257,Good,3,1
33,Male,1127490,Government,Graduate,Owned,Single,5,625,870795,Good,3,0
31,Female,739656,Working,High School,Rented,Single,32,563,551256,Good,5,0
49,Female,535090,Working,Post Graduate,With Parents,Single,27,884,245410,Good,3,1
36,Male,1856958,Business,Post Graduate,With Parents,Married,4,746,780907,Good,0,1
40,Female,268128,Government,Post Graduate,With Parents,Divorced,34,446,962262,Poor,5,0
47,Female,677236,Working,High School,Owned,Married,14,843,964435,Good,0,0
40,Female,1983017,Working,Post Graduate,Rented,Divorced,9,358,152305,Good,1,0
46,Female,968119,Working,Post Graduate,Owned,Divorced,11,543,112267,Good,1,0
51,Female,1808743,Government,Graduate,Rented,Married,11,365,115552,Good,2,0
58,Male,1769690,Government,Post Graduate,Rented,Single,5,833,892169,Good,5,1
40,Male,1114103,Government,High School,Owned,Single,10,899,507310,Good,5,1
27,Female,233134,Student,High School,With Parents,Divorced,7,778,634343,Good,2,0
25,Female,648013,Business,Post Graduate,Owned,Married,9,385,779762,Good,4,0
52,Male,1919867,Business,High School,Owned,Divorced,35,552,416358,Good,0,0
41,Female,656825,Student,Graduate,Rented,Single,1,667,143559,Good,5,1
49,Female,202052,Student,Post Graduate,Rented,Married,5,682,905328,Good,2,0
38,Female,307203,Working,High School,Owned,Single,24,833,255890,Good,4,0
60,Male,646791,Government,Post Graduate,Rented,Single,10,623,527432,Good,3,0
24,Male,1560158,Working,Graduate,Owned,Divorced,13,579,427910,Good,3,0
43,Female,1511629,Working,Post Graduate,With Parents,Divorced,9,545,827124,Good,4,0
27,Male,358370,Business,Post Graduate,With Parents,Single,28,476,75152,Good,2,0
27,Male,712894,Government,Graduate,Owned,Single,34,617,167439,Good,0,0
36,Male,958460,Business,High School,Owned,Divorced,12,378,924302,Good,3,0
54,Male,1717635,Student,High School,Rented,Single,15,850,592802,Good,5,1
26,Female,714920,Student,Post Graduate,Owned,Married,32,613,679494,Good,3,0
32,Male,289635,Working,Graduate,Owned,Single,16,402,818459,Good,3,0
21,Female,439368,Student,High School,Rented,Divorced,23,328,833047,Good,4,0
59,Female,418522,Business,High School,Rented,Single,33,680,84858,Good,4,1
26,Female,1874675,Government,Graduate,Rented,Married,26,783,148654,Good,2,1
42,Female,1925332,Working,Post Graduate,Owned,Married,27,810,82048,Good,3,1
28,Female,1773039,Business,Graduate,Owned,Divorced,22,710,111727,Good,3,1
45,Female,1340646,Business,High School,Rented,Married,31,512,481051,Good,4,0
54,Female,1767494,Government,High School,Owned,Divorced,8,522,720781,Good,5,0
39,Female,344383,Government,Graduate,Rented,Married,11,806,444871,Good,1,0
21,Female,1626014,Working,High School,Rented,Married,6,605,182573,Good,0,0
44,Male,819753,Business,High School,With Parents,Married,34,731,217274,Poor,3,0
37,Female,257070,Government,Graduate,Rented,Married,34,878,406322,Good,3,0
22,Male,991474,Business,High School,Owned,Married,34,525,510049,Good,5,0
35,Female,1728690,Business,Post Graduate,Owned,Married,11,448,817327,Poor,4,0
28,Male,1211989,Working,Graduate,Rented,Divorced,14,586,67542,Good,2,0
24,Female,1757820,Business,Post Graduate,Owned,Single,34,762,178613,Good,1,1
38,Female,460208,Business,High School,Owned,Divorced,7,757,730357,Good,3,0
24,Female,901845,Student,Post Graduate,With Parents,Divorced,33,558,873076,Good,2,0
58,Female,1509214,Working,Graduate,Owned,Single,6,802,130273,Good,4,1
47,Female,1075579,Government,Post Graduate,With Parents,Single,35,847,695111,Good,0,1
48,Male,1232880,Business,Post Graduate,With Parents,Divorced,20,716,903422,Good,3,1
33,Male,552663,Student,Graduate,Rented,Married,11,724,108376,Good,2,1
59,Female,657008,Student,Post Graduate,With Parents,Single,5,887,879944,Poor,4,0
58,Male,1022007,Business,Post Graduate,Owned,Single,13,313,523859,Good,3,0
43,Male,1867958,Business,High School,Rented,Single,12,731,965657,Good,1,1
25,Female,1487484,Government,Graduate,With Parents,Single,2,617,722727,Good,0,0
36,Female,1610450,Business,Post Graduate,Rented,Divorced,18,680,540948,Good,4,1
35,Female,1657194,Student,High School,With Parents,Divorced,35,426,160587,Good,2,0
34,Male,505135,Government,Graduate,Owned,Married,17,371,874121,Good,5,0
32,Female,1369479,Working,Post Graduate,With Parents,Married,31,731,941653,Good,0,1
32,Male,1051057,Working,High School,With Parents,Divorced,25,538,599206,Good,2,0
37,Male,1929761,Business,Post Graduate,With Parents,Married,20,539,98373,Good,1,0
24,Male,218196,Student,Post Graduate,Rented,Divorced,21,347,682216,Good,5,0
40,Female,1853100,Student,High School,With Parents,Married,2,875,785654,Good,1,1
27,Female,1213878,Business,Graduate,With Parents,Single,26,710,532909,Good,1,1
34,Female,602882,Student,Graduate,Owned,Married,8,423,502081,Good,5,0
39,Male,1681317,Business,Graduate,Owned,Divorced,10,474,770677,Poor,2,0
27,Male,1900283,Working,Graduate,With Parents,Single,11,540,454955,Good,0,0
27,Male,1560660,Government,Graduate,Rented,Single,18,866,915003,Poor,1,0
22,Male,1653593,Government,High School,Rented,Single,19,749,431334,Good,0,1
28,Female,1578604,Working,Graduate,Rented,Married,0,889,298851,Good,3,1
43,Male,1502325,Working,High School,Rented,Single,20,618,871175,Good,2,0
41,Male,1635243,Working,Post Graduate,Owned,Married,4,372,28480,Good,2,0
45,Female,1492900,Government,High School,With Parents,Divorced,11,336,664978,Poor,1,0
51,Female,1691337,Student,Graduate,With Parents,Divorced,27,477,813031,Good,2,0
35,Male,1326714,Student,High School,With Parents,Married,5,366,655477,Poor,1,0
59,Male,1952746,Business,Graduate,Owned,Married,9,601,2307,Good,5,0
32,Male,766564,Student,High School,Owned,Married,33,851,633872,Good,1,0
37,Male,1191197,Government,High School,With Parents,Divorced,24,746,946371,Good,5,1
23,Female,1827486,Government,Graduate,Owned,Married,15,875,185173,Good,4,1
29,Female,920425,Working,Graduate,Rented,Single,21,322,605676,Poor,1,0
56,Female,1476701,Government,Graduate,With Parents,Single,15,882,447658,Poor,4,0
48,Female,885263,Business,Graduate,With Parents,Single,30,714,344076,Good,3,1
28,Male,209500,Working,Post Graduate,With Parents,Married,17,439,577218,Good,3,0
34,Female,797272,Student,Post Graduate,Rented,Divorced,27,740,471831,Good,4,1
58,Female,1158367,Working,Graduate,With Parents,Single,29,322,914549,Poor,3,0
58,Male,378265,Government,Post Graduate,Rented,Single,5,326,795572,Good,4,0
37,Female,415228,Government,Graduate,Rented,Married,26,742,763253,Good,5,0
42,Male,1338375,Student,High School,With Parents,Single,24,803,694352,Good,4,1
32,Male,795772,Business,Graduate,With Parents,Divorced,27,889,542242,Good,2,1
41,Male,1554158,Government,Graduate,Rented,Divorced,14,796,359824,Good,1,1
37,Male,1868084,Student,High School,Rented,Divorced,34,471,943203,Good,3,0
28,Female,269819,Business,Graduate,Owned,Divorced,15,851,339451,Poor,3,0
48,Male,1784544,Student,Graduate,With Parents,Single,26,555,542430,Good,4,0
36,Female,1372911,Working,Post Graduate,Rented,Single,20,824,367834,Good,5,1
26,Male,1814346,Working,High School,Rented,Divorced,24,641,88142,Poor,4,0
34,Male,1791931,Government,Post Graduate,With Parents,Married,9,801,481995,Good,3,1
51,Male,653477,Student,Graduate,Rented,Single,3,498,783661,Good,2,0
40,Female,643096,Government,Graduate,With Parents,Divorced,24,550,243929,Good,0,0
30,Male,666302,Government,Graduate,With Parents,Married,5,788,748750,Poor,0,0
49,Male,1957829,Working,Graduate,Rented,Married,22,772,483971,Poor,1,0
47,Male,1013955,Business,Graduate,Rented,Divorced,20,342,534186,Good,4,0
59,Female,1906488,Student,Graduate,Rented,Married,17,593,681640,Good,2,0
53,Female,490114,Government,High School,Rented,Divorced,29,559,920835,Poor,0,0
36,Female,1016407,Student,Graduate,With Parents,Married,18,325,278017,Poor,0,0
51,Female,1179885,Government,High School,Rented,Divorced,28,659,209422,Good,0,1
41,Female,1807531,Business,Post Graduate,Owned,Single,3,333,674601,Good,4,0
38,Male,1869980,Student,Graduate,Rented,Married,32,453,253931,Good,5,0
37,Female,712053,Government,Post Graduate,With Parents,Married,23,551,358567,Poor,1,0
29,Female,1101434,Working,Post Graduate,With Parents,Divorced,0,337,272869,Good,4,0
26,Male,325682,Business,Graduate,With Parents,Divorced,23,731,81575,Good,5,0
59,Female,1948077,Government,High School,Owned,Divorced,6,625,526786,Good,3,0
38,Female,1094194,Working,Graduate,With Parents,Married,30,759,445697,Poor,4,0
47,Female,1602847,Working,Graduate,With Parents,Married,26,709,703819,Good,3,1
56,Male,1685139,Working,Post Graduate,Rented,Divorced,8,677,423746,Good,4,1
58,Female,235181,Working,Graduate,With Parents,Single,14,537,3784,Good,4,0
32,Female,1086703,Government,High School,Rented,Married,30,547,653411,Good,1,0
30,Male,731369,Working,Graduate,Owned,Single,5,844,407423,Good,2,1
52,Female,1145956,Business,High School,With Parents,Divorced,5,559,475825,Good,4,0
42,Male,747671,Student,Graduate,Rented,Single,0,492,343213,Good,2,0
27,Male,1765113,Business,Post Graduate,Owned,Divorced,30,531,879024,Good,0,0
55,Female,1067423,Government,Graduate,Rented,Married,6,508,94552,Poor,2,0
25,Male,218166,Business,Graduate,With Parents,Married,12,573,944454,Poor,3,0
41,Male,932455,Business,Post Graduate,With Parents,Divorced,23,471,727466,Good,4,0
59,Female,920848,Working,Post Graduate,With Parents,Married,4,474,580911,Poor,2,0
44,Male,990185,Student,Graduate,With Parents,Single,13,850,215518,Poor,0,0
58,Male,852316,Working,Post Graduate,With Parents,Single,3,500,558754,Good,2,0
45,Male,743405,Business,Post Graduate,With Parents,Single,19,460,107789,Good,2,0
57,Female,1761461,Business,High School,With Parents,Divorced,6,477,66389,Good,1,0
51,Male,819062,Working,High School,Rented,Divorced,25,390,206193,Good,2,0
43,Female,610574,Working,High School,Rented,Single,2,494,61746,Poor,2,0
21,Female,1124741,Working,Post Graduate,With Parents,Single,3,717,378077,Good,2,1
41,Female,1157598,Student,Post Graduate,With Parents,Married,15,612,341349,Poor,2,0
28,Male,1453333,Working,High School,Rented,Divorced,17,649,160118,Good,2,0
26,Male,248041,Student,High School,With Parents,Divorced,24,689,723540,Good,0,0
24,Male,535622,Government,High School,With Parents,Single,25,848,148263,Good,4,1
29,Male,1640772,Working,Post Graduate,Rented,Married,25,474,681976,Good,4,0
57,Female,506206,Working,Post Graduate,Owned,Divorced,17,808,600766,Good,5,0
26,Male,223325,Government,Post Graduate,Owned,Single,22,804,135797,Good,4,0
50,Male,1675260,Business,High School,Owned,Single,2,774,957212,Poor,4,0
42,Female,1741440,Business,Graduate,Owned,Divorced,29,425,151779,Good,0,0
39,Female,590628,Working,Graduate,With Parents,Divorced,1,450,957903,Good,4,0
46,Male,1890333,Student,High School,Rented,Divorced,1,477,829732,Poor,1,0
37,Male,1077677,Government,Graduate,Rented,Married,28,708,726233,Poor,2,0
23,Male,739336,Working,Post Graduate,With Parents,Divorced,32,638,456813,Good,5,0
37,Male,273981,Working,Graduate,Rented,Divorced,22,741,844375,Good,4,0
56,Female,1313258,Student,Post Graduate,Rented,Married,27,543,77666,Good,5,0
24,Female,1557180,Business,High School,With Parents,Single,5,400,838194,Good,1,0
56,Female,219129,Government,Graduate,With Parents,Married,28,381,790275,Good,0,0
34,Male,634770,Government,High School,With Parents,Divorced,16,833,615370,Good,2,0
36,Male,1706296,Government,Graduate,Owned,Divorced,7,565,481927,Poor,5,0
24,Female,689388,Government,Graduate,Owned,Divorced,15,667,925583,Good,5,0
47,Female,650998,Working,Post Graduate,Rented,Divorced,14,429,689447,Good,3,0
21,Female,1270665,Student,Post Graduate,With Parents,Divorced,26,639,398456,Good,1,0
58,Male,970829,Business,High School,With Parents,Single,34,301,797060,Good,4,0
34,Male,714786,Government,High School,Owned,Married,32,826,359502,Good,5,1
40,Female,1217031,Student,Post Graduate,Rented,Divorced,1,708,292072,Good,4,1
35,Female,763716,Government,Post Graduate,Rented,Divorced,30,642,153678,Good,2,0
33,Male,1201549,Government,Graduate,With Parents,Divorced,21,462,968638,Good,4,0
52,Female,1327112,Student,Graduate,Owned,Divorced,4,598,552141,Good,1,0
48,Female,877863,Working,Post Graduate,With Parents,Single,31,734,269664,Good,2,1
60,Female,945731,Government,High School,Rented,Divorced,27,618,929793,Good,3,0
49,Female,698247,Working,High School,With Parents,Single,22,816,857920,Good,0,0
46,Male,1955575,Working,High School,With Parents,Married,30,458,180933,Poor,1,0
29,Female,1792418,Business,Graduate,With Parents,Divorced,10,791,400105,Good,0,1
57,Female,1114135,Working,High School,With Parents,Divorced,2,581,8500,Good,1,0
40,Male,350972,Government,High School,Rented,Divorced,15,683,833157,Poor,3,0
46,Female,418789,Government,Graduate,Rented,Married,26,316,361811,Good,1,0
46,Male,1489862,Student,Graduate,Rented,Divorced,25,441,519855,Good,5,0
42,Male,1028559,Government,Post Graduate,With Parents,Single,6,456,745115,Good,2,0
47,Female,1749555,Business,Post Graduate,Rented,Divorced,2,474,89644,Poor,2,0
41,Male,1368287,Business,High School,With Parents,Married,29,648,917243,Good,1,0
26,Male,1010082,Business,Graduate,Rented,Single,23,707,500896,Good,2,1
39,Female,205300,Student,Post Graduate,With Parents,Single,30,651,86178,Good,4,0
57,Male,1473285,Working,Graduate,Rented,Married,23,370,160617,Good,5,0
38,Female,401279,Government,Post Graduate,Owned,Married,13,402,450304,Poor,4,0
55,Male,1290547,Business,Post Graduate,With Parents,Married,30,578,461347,Good,2,0
45,Female,1421274,Working,Graduate,Owned,Married,20,610,760515,Good,5,0
34,Female,666941,Student,Post Graduate,Rented,Divorced,31,404,352621,Poor,4,0
32,Male,1722372,Working,Post Graduate,Rented,Divorced,3,798,424584,Poor,5,0
36,Female,436041,Government,High School,Rented,Divorced,29,777,131060,Poor,5,0
24,Male,458095,Government,Post Graduate,Rented,Married,29,534,803733,Good,2,0
36,Male,1916827,Government,Post Graduate,With Parents,Married,8,477,369515,Poor,3,0
53,Female,1041567,Government,High School,Owned,Married,17,799,324031,Good,4,1
42,Female,1180613,Business,Post Graduate,With Parents,Married,9,543,902512,Good,2,0
44,Female,1359070,Working,Post Graduate,With Parents,Divorced,22,797,783115,Good,3,1
44,Male,1570742,Student,Graduate,Owned,Single,33,568,658578,Good,1,0
47,Male,699827,Business,Post Graduate,With Parents,Divorced,19,754,1972,Good,3,1
27,Female,1039798,Student,Post Graduate,With Parents,Single,16,804,701959,Good,5,1
36,Female,461065,Government,Post Graduate,Rented,Divorced,21,342,543373,Good,3,0
39,Female,1697124,Student,High School,Owned,Married,1,495,638040,Poor,0,0
22,Male,1164935,Government,Post Graduate,With Parents,Single,2,407,459621,Good,3,0
50,Female,1405073,Working,Graduate,With Parents,Married,11,841,327785,Good,0,1
46,Male,430355,Government,Post Graduate,Owned,Divorced,35,899,444827,Good,5,0
36,Female,615114,Student,Graduate,Owned,Married,22,839,623217,Good,3,0
24,Female,468618,Business,Post Graduate,With Parents,Single,17,387,224008,Good,2,0
27,Male,1483649,Working,High School,Rented,Single,3,779,955017,Poor,1,0
